2024-08-27 Mirinda                             1510   14
2024-08-27 Mirinda                             1560   12
2024-08-28 Torasso                              940    8
2024-08-29 PepsiCola                          1210   10
2024-08-30 Mirinda                             1520    1
2024-09-01 Mirinda                             1550   15
2024-09-01 Sprite                               810    4
2024-09-02 CocaCola                           1100    4
2024-09-02 PepsiCola                          1220   13
2024-09-02 Torasso                              910    5
2024-09-02 Torasso                              920    3
2024-09-03 CocaCola                           1020    8
2024-09-03 Mirinda                             1570    7
2024-09-03 Mirinda                             1590    2
2024-09-04 PepsiCola                          1220   13
2024-09-05 Mirinda                             1500    3
2024-09-05 PepsiCola                          1300    5
2024-09-06 CocaCola                           1080    1
2024-09-06 Sprite                               860   12
2024-09-06 Torasso                              930    3
2024-09-07 CocaCola                           1080   14
2024-09-07 Sprite                               870   13
2024-09-08 CocaCola                           1040   10
2024-09-08 Mirinda                             1580    2
2024-09-08 PepsiCola                          1240    9
2024-09-09 Mirinda                             1500    3
2024-09-09 Sprite                               850    9
2024-09-10 Mirinda                             1590    8
2024-09-10 PepsiCola                          1250   12
2024-09-11 Sprite                               810    6
2024-09-11 Sprite                               820   14
2024-09-12 CocaCola                           1080    4
2024-09-13 Mirinda                             1580    5
2024-09-13 PepsiCola                          1250   13
2024-09-14 CocaCola                           1080   15
2024-09-14 PepsiCola                          1270   14
2024-09-15 CocaCola                           1100    1
2024-09-15 Mirinda                             1500   13
2024-09-15 Sprite                               870   14
2024-09-15 Torasso                              900   13
